Age_group,Area,FamilyStatus,Education,Income,Religion,Gender,Frequency-YouTube,Frequency-Facebook,Frequency-TikTok,Frequency-Twitter,Frequency-Instagram,Frequency-LinkedIn,Frequency-WhatsApp,ID,B-YouTube,B-Facebook,B-TikTok,B-Twitter,B-Instagram,B-LinkedIn,B-WhatsApp,Age_group-num,Income-num,Frequency-Instagram-num,Frequency-Facebook-num,Frequency-Twitter-num,Frequency-YouTube-num
50-64,Jerusalem,Married,Academic,Similar to Average,Jewish - Traditional,Male,Several times a week,Several times a week,Not Using,Several times a month,Not Using,Not Using,Daily,1,1,1,0,1,0,0,1,56,6620,0,23,5,16
40-49,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Male,Daily,Daily,Not Using,Daily,Daily,Not Using,Daily,2,1,1,0,1,1,0,1,43,5321,30,30,29,30
65+,Center,Divorced/Separated/Widowed/Single Parent,Secondary,Other Responses,Jewish - Secular,Female,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,3,0,0,0,0,0,0,1,77,0,0,0,0,0
65+,Tel Aviv,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Female,Several times a month,Daily,Not Using,Not Using,Less often,Not Using,Daily,4,1,1,0,0,1,0,1,79,6343,3,29,0,8
40-49,Tel Aviv,Married,Academic,Similar to Average,Jewish - Secular,Male,Not Using,Several times a month,Not Using,Not Using,Several times a month,Less often,Daily,5,0,1,0,0,1,1,1,47,6637,6,10,0,0
65+,Tel Aviv,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Male,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,6,1,0,0,0,0,0,1,77,7377,0,0,0,29
65+,Haifa,Married,Academic,Similar to Average,Jewish - Secular,Male,Several times a month,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,7,1,0,0,0,0,0,0,69,7833,0,0,0,5
65+,Haifa,Married,Academic,Above Average,Jewish - Secular,Male,Several times a month,Less often,Not Using,Not Using,Not Using,Not Using,Daily,8,1,1,0,0,0,0,1,71,10825,0,4,0,10
50-64,Center,Married,Academic,Way Above Average,Jewish - National Religious,Male,Daily,Several times a week,Not Using,Daily,Not Using,Not Using,Daily,9,1,1,0,1,0,0,1,59,12995,0,24,29,30
31-39,North,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Traditional,Male,Daily,Daily,Daily,Not Using,Daily,Less often,Daily,10,1,1,1,0,1,1,1,33,3911,31,30,0,30
65+,North,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Secular,Male,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,11,1,1,0,0,0,0,1,71,4944,0,31,0,27
65+,Tel Aviv,Married,"Post-secondary (Technician, Engineer, etc.)",Above Average,Jewish - Secular,Male,Several times a week,Daily,Several times a month,Less often,Less often,Less often,Daily,12,1,1,1,1,1,1,1,75,10039,3,31,1,28
